id,object_of_assay,group,test_data,passed,bug_id,t_id,severity
4,Главная страница отображается корректно во всех популярных браузерах последней версии,"Страница ""Питомцы""","Firefox 98
Chrome 99
Opera 84
Edge 99
Safari 15",t,,319736241,Critical
5,Сайт доступен через IE,Доступность сайта,IE 11,f,1,319736241,Low
8,"Все пункты списка ""Сортировать по"" изменяют порядок отображения питомцев","Страница ""Питомцы""",None,t,,319736241,Medium
10,"Все варианты основных фильтров (вид, порода, пол, возраст) могут быть выбраны. 
Перебор через Postman со следующими значениями поля ""возраст"":  -1, 0, 1, 2","Страница ""Питомцы""",None,t,,319736241,Medium
11,"Фильтр ""возраст"" корректно фильтрует результаты выдачи","Страница ""Питомцы""","Варианты для поля: 0, 1, 2",t,,319736241,Medium
14,"Страница ""О нас"" содержит информацию о сайте","Страница ""О нас""",None,t,,319736241,Low
15,"Страница ""Контакты"" открывается без ошибки","Страница ""Контакты""",None,t,,319736241,Low
16,"На странице ""Контакты"" есть информация о контактах с создателями сайта","Страница ""Контакты""",None,t,,319736241,Medium
17,Строка поиска интерактивна,UI,None,t,,319736241,Medium
1,"Страница ""Питомцы"" открыта, получен код 200","Страница ""Питомцы""",None,t,,319736241,Critical
19,"На странице есть поля для фильтрации ""Вид животного"", ""Порода"", ""Пол"", ""Возраст""","Страница ""Питомцы""",None,f,9,319736241,High
20,"На странице ""Питомцы"" присутствуют карточки питомцев","Страница ""Питомцы""",None,t,,319736241,High
22,Верхняя граница значений в возрасте питомцев,"Страница ""Питомцы""",Возраст питомца 500,f,15,319736241,Medium
2,"Страница ""О нас"" открыта, получен код 200","Страница ""О нас""",None,t,,319736241,Critical
12,"Использование фильтра ""вид"" меняет результаты выдачи","Страница ""Питомцы""",None,t,,319736241,Medium
24,"Корректность фильтрации по кнопке ""Счастливчики""","Страница ""Питомцы""",None,t,3,319736241,High
25,Поля в секции для ввода контактной информации интерактивны,UI,None,t,,319736241,Critical
26,"Сообщение об ошибке при попытке отправить форму ""приютить питомца"" с пустыми полями","Страница ""Питомцы""",None,t,,319736241,Medium
27,Все страницы сайта оформлены в одинаковом стиле,Design,None,t,,319736241,Low
28,Информация о приюте на странице корректна,"Страница ""О нас""",None,f,22,319736241,Critical
6,"Кнопка ""Контакты"" ведет на страницу ""Контакты""","Страница ""Питомцы""",http://130.193.37.179/app/contact,t,,319736241,Medium
23,Поля фильтров на странице Питомцы подписаны,UI,None,f,17,319736241,Low
29,"На всех страницах сайта корректно отображается название сайта ""Дом питомца""",Design,None,t,,319736241,Medium
30,"В заголовке страницы ""Питомцы"" отображается три кнопки основной навигации по сайту",UI,None,t,,319736241,High
31,"На странице ""О нас"" отображается три кнопки основной навигации по сайту",UI,None,t,,319736241,High
32,"На странице ""Контакты"" отображается три кнопки основной навигации по сайту",UI,None,t,,319736241,High
7,"Корректность фильтрации по кнопке ""Питомцы без дома""","Страница ""Питомцы""",None,f,2,319736241,Medium
18,"Запросы в строку поиска на странице ""Контакты"" выполняют GET запросы","Страница ""Питомцы""",none,t,,319736241,Low
21,Кнопка соцсети Ютуб открывает страницу приюта в Ютубе,"Страница ""О нас""",None,f,13,319736241,Medium
13,Кнопка соцсети Ютуб открывает страницу приюта в Ютубе,Footer,None,f,5,319736241,High
3,"Страница ""О нас"" отображается корректно при изменении размера окна","Страница ""О нас""",None,t,,319736241,High
33,"Надпись ""Дом Питомца в заголовке страницы интерактивна, ведет на главную страницу или ее аналог",UI,None,f,26,319736241,High
34,"Надпись ""Дом Питомца в заголовке страницы интерактивна, ведет на главную страницу или ее аналог",UI,None,f,26,319736241,High
36,"Запросы в строку поиска на странице ""О нас"" выполняют GET запросы","Страница ""О нас""",None,t,,319736241,Medium
37,Кнопка соцсети Инстраграмм открывает страницу приюта в Инстаграмме,"Страница ""О нас""",None,f,13,319736241,Medium
38,Кнопка соцсети Тикток открывает страницу приюта в Тиктоке,"Страница ""О нас""",None,f,13,319736241,Medium
39,Кнопка мессенджера Телеграм открывает канал приюта в Телеграме,"Страница ""О нас""",None,f,13,319736241,Medium
40,Кнопка соцсети Инстаграмм открывает страницу приюта в Инстаграмме,Footer,None,f,5,319736241,High
41,Кнопка соцсети Тикток открывает страницу приюта в Тиктоке,Footer,None,f,5,319736241,High
42,Кнопка мессенджера Телеграмм открывает страницу приюта в Телеграмме,Footer,None,f,5,319736241,High
43,"Страница ""Контакты"" открыта, получен код 200","Страница ""Контакты""",None,t,,319736241,Critical
44,"Страница ""Контакты"" отображается корректно при изменении размеров окна","Страница ""Контакты""",None,t,,319736241,High
45,"Страница ""Питомцы"" отображается корректно при изменении размеров окна","Страница ""Контакты""",None,t,,319736241,High
46,"Кнопка ""О нас"" ведет на страницу ""О нас""","Страница ""Питомцы""",http://130.193.37.179/app/about,t,,319736241,Medium
47,"Кнопка ""Питомцы"" обновляет страницу","Страница ""Питомцы""",http://130.193.37.179/app/pets,t,,319736241,Medium
48,"Кнопка ""Контакты"" обновляет страницу","Страница ""Контакты""",http://130.193.37.179/app/contact,t,,319736241,Medium
