id,title,type_name,initial_state,steps,expected_result,received_result,passed,bug_id,user_id,testdata
1,Корректность поиска с помощью строки поиска,Functional,"Открыта страница ""Питомцы"" сайта
http://130.193.37.179/app/pets","1) Кликом мыши активировать ввод в строку поиска в левом  верхнем углу страницы
2) Ввести строку из данных, начиная с первой
3) Пронаблюдать релевантность результатов выдачи введенному запросу
4) Повторять пункты 2-4 до исчерпания строк","Все результаты выдачи релевантны введенным строкам, т.е. что-то в питомцах соответствует введенному набору символов, или страница пуста, если набор символов не соответствует питомцу.","Все результаты выдачи соответствуют ожиданиям, кроме выдачи при запросе строки ""у""",f,7,319736241,"Для проверки используются поочередно все строки:
""кот""
""собака""
""он""
""у""
:?*(((
90"
2,Ввод знаков пунктуации в строку поиска,Functional,"Открыта страница ""Питомцы"" сайта
http://130.193.37.179/app/pets","1) Кликом мыши активировать ввод в строку поиска в левом верхнем углу страницы
2) Ввести строку из тестовых данных
3) Подтвердить поиск нажатием на кнопку Enter","Одно из нижеследующего:
— Ввод некорректных символов невозможен
— Поиск с некорректными символами невозможен
— При попытке поиска с некорректными символами выдается сообщение об ошибке",Поиск произведен. Страница результатов пуста. Сообщения об ошибке нет,f,8,319736241,"Строка:
&&&#$*#*#**########"
3,"Ввод отрицательного значения в поле ""Возраст"" на странице ""Питомцы""",Functional,"Открыта страница ""Питомцы""
http://130.193.37.179/app/pets","1) В правой верхней части страницы найти блок с фильтрами
2) Активировать фильтр ""возраст"" кликом мыши
3) С клавиатуры ввести значение -1",Возраст не может упасть ниже нуля,"Поле приняло отрицательно значение возраста, страница отфильтровала всех не соответствующих этому условию питомцев",f,10,319736241,-1
4,"Ввод знаков препинания в фильтр ""Возраст"" на странице ""Питомцы""",Functional,"Открыта страница ""Питомцы"" сайта
http://130.193.37.179/app/pets","1) В правой верхней части страницы найти блок с фильтрами
2) Активировать фильтр ""возраст"" кликом мыши
3) С клавиатуры ввести значение тестовой строки","Строка не принимает ничего, кроме цифр","Строка не приняла большинство некорректных символов. Единственный принятый ей символ — точка (.), которую можно ввести в количестве ровно одной штуки. При попытке повторно отправить такую форму, выдается ошибка ""Введите число"".",t,,319736241,"Строка с символами ""///..%%%#$##"""
5,"Корректность фильтров в поле ""Вид животного""",Functional,"Открыта страница ""Питомцы"" сайта
http://130.193.37.179/app/pets?","1) В левой верхней части тела страницы найти блок фильтров
2) Кликом мыши развернуть фильтр ""Вид животного""","В списке содержится по одной строчке на каждый вид животного, представленный на сайте","В списке находится две одинаковые строки с содержимым ""Обезьянка"". Обезьянок на сайте нет",f,11,319736241,none
6,Отображение фотографий питомцев на главной страницв,Non-functional,"Открыта страница ""Питомцы"" http://130.193.37.179/app/pets","1) В теле страницы найти блок с карточками питомцев.
2) Проверить, чтобы у каждого питомца была фотография на карточке",На каждой карточке есть фотография питомца,На каждой карточке есть фотография питомца,t,,319736241,None
7,"Разрешение фотографий на странице ""Питомцы""",Non-functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) Найти блок с карточками питомцев в теле страницы
2) Для каждой карточки визуально проверить отсутствие графических деформаций на фотографии питомца
3) При подозрении на деформацию кликнуть на карточку питомца и сравнить фотографию с карточки с фотографией в открывшейся информации о питомце",Все фотографии на карточках отображаются корректно,"Фотографии питомцев ""Барон"" и ""Мухтар"" визуально деформированы, не соответствуют их фотографиям в расширенной информации",f,14,319736241,None
8,Отображение расширенной информации о питомце,Functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) В теле страницы найти блок с карточками питомцев
2) Мышью нажать на первого в блоке питомца","На странице открыта расширенная информация о первом в блоке питомце. В этой информации перечислены имя, пол, вид животного, порода, возраст питомца, регистрационный номер и указан статус","На странице открыта расширенная информация о первом в блоке питомце. В этой информации перечислены имя, пол, вид животного, порода, возраст питомца, регистрационный номер и указан статус",t,,319736241,None
9,Позитивное тестирование фильтров на странице Питомцы,Functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) В верхней левой части тела страницы найти блок с фильтрами
2) С помощью выпадающего списка выбрать вид животного
3) С помощью выпадающего списка выбрать породу животного
4) С помощью выпадающего списка выбрать пол животного
5) В поле ""возраст"" один раз нажать на стрелочку вверх, чтобы установить возраст",Отображается карточка питомца попугай Гоша (корелла) возрастом в один год,Отображается карточка питомца попугай Гоша (корелла) возрастом в один год,t,,319736241,"Попугай
Корелла
Мальчик
1"
10,Негативное тестирование фильтрации на странице Питомцы,Functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) В верхней левой части тела страницы найти блок с фильтрами
2) С помощью выпадающего списка выбрать вид животного
3) С помощью выпадающего списка выбрать породу животного
4) С помощью выпадающего списка выбрать пол животного
5) В поле ""возраст"" один раз нажать на стрелочку вверх, чтобы установить возраст","Не выбрано ни одной карточки с питомцами, посреди страницы надпись ""Приют пуст""","Не выбрано ни одной карточки с питомцами, посреди страницы надпись ""Приют пуст""",t,,319736241,"Кошка
Питбуль
Вилка
5"
11,"Негативное тестирование поля ввода фильтра ""Вид животного""",Functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) В левой верхней части тела страницы найти блок фильтров
2) Кликнуть на поле ""вид животного""",Открыт выпадающий список. Возможности ввести свое значение нет,Открыт выпадающий список. Возможности ввести свое значение нет,t,,319736241,None
12,"Работа кнопки ""Сброс"" на странице Питомцы",Functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) В левой верхней части тела страницы найти блок с фильтрами
2) Выбрать произвольные значения в каждом из четырех полей фильтров
3) Нажать на кнопку ""Сброс"", расположенную правее блока фильтров",Значения всех полей сброшены на пустое,Значения всех полей сброшены на пустое,t,,319736241,None
13,"Сброс фильтра по кнопке ""Питомцы без дома"" после повторного нажатия на кнопку",Functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) В левой верхней части тела страницы найти кнопку ""Питомцы без дома""
2) Нажать на нее один раз
3) Нажать на нее второй раз","После первого нажатия карточки отфильтрованы. После повторного нажатия фильтр был сброшен, отображаются все карточки питомцев.","После первого нажатия карточки отфильтрованы. После повторного нажатия фильтр был сброшен, отображаются все карточки питомцев.",t,,319736241,None
14,"Сброс фильтра ""Счастливчики"" после повторного нажатия на кнопку",Functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) В левой верхней части тела страницы найти кнопку ""Счастливчики""
2) Нажать на нее один раз
3) Нажать на нее второй раз","После первого нажатия карточки отфильтрованы. После повторного нажатия фильтр был сброшен, отображаются все карточки питомцев.","После первого нажатия карточки отфильтрованы. После повторного нажатия фильтр был сброшен, отображаются все карточки питомцев.",t,,319736241,None
15,"Интерактивность оглавления страницы ""Питомцы""",Functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) В нижней части тела страницы найти блок оглавления (две стрелки и цифра, означающая номер страницы)
2) Нажать на цифру 1",Страница перезагружена,Страница не перезагрузилась,f,18,319736241,None
16,"Работа кнопки ""Приютить"" в расширенной карточке питомца",Functional,"Открыта страница питомца ""Барон""
http://130.193.37.179/app/pets/517d137a-d05e-48bc-b1c0-cfeb09e06f23","1) Под списком информации о питомце в центральной части тела страницы найти кнопку ""Приютить""
2) Нажать на кнопку ""Приютить""",Открыта форма приема контактных данных,Открыта форма приема контактных данных,t,,319736241,None
17,Внешний вид секции для ввода контактной информации в расширенной карточке питомца,Non-functional,"Открыта секция для ввода контактной информации в карточке питомца ""Барон""","1) Пронаблюдать заголовок карточки
2) Пронаблюдать надписи на кнопках",Ни в одной надписи нет знаков препинания,Знаки препинания присутствуют,f,20,319736241,None
